time,pv_power_w,ghi,sun_alt,temp_air,wind_speed,pv_power_kw
2020-01-12 13:00:00+00:00,391.3,105.21,17.74,2.36,0.69,0.39130000000000004
2020-01-12 14:00:00+00:00,489.2,127.92,10.27,2.63,0.55,0.48919999999999997
2020-01-12 15:00:00+00:00,0.0,0.0,0.0,2.3,0.41,0.0
2020-01-12 16:00:00+00:00,0.0,0.0,0.0,1.72,0.07,0.0
2020-01-12 17:00:00+00:00,0.0,0.0,0.0,1.09,0.69,0.0
2020-01-12 18:00:00+00:00,0.0,0.0,0.0,0.63,0.69,0.0
2020-01-12 19:00:00+00:00,0.0,0.0,0.0,-0.47,0.76,0.0
2020-01-12 20:00:00+00:00,0.0,0.0,0.0,-1.57,0.97,0.0
2020-01-12 21:00:00+00:00,0.0,0.0,0.0,-2.12,1.17,0.0
2020-01-12 22:00:00+00:00,0.0,0.0,0.0,-2.72,1.24,0.0
2020-01-12 23:00:00+00:00,0.0,0.0,0.0,-3.44,1.31,0.0
2020-01-13 00:00:00+00:00,0.0,0.0,0.0,-3.32,1.24,0.0
2020-01-13 01:00:00+00:00,0.0,0.0,0.0,-3.4,1.31,0.0
2020-01-13 02:00:00+00:00,0.0,0.0,0.0,-3.89,1.38,0.0
2020-01-13 03:00:00+00:00,0.0,0.0,0.0,-4.24,1.38,0.0
2020-01-13 04:00:00+00:00,0.0,0.0,0.0,-4.58,1.38,0.0
2020-01-13 05:00:00+00:00,0.0,0.0,0.0,-4.76,1.38,0.0
2020-01-13 06:00:00+00:00,0.0,0.0,0.0,-4.87,1.45,0.0
2020-01-13 07:00:00+00:00,337.1,90.96,9.8,-3.13,0.97,0.3371
2020-01-13 08:00:00+00:00,432.6,113.46,17.41,0.0,0.76,0.43260000000000004
2020-01-13 09:00:00+00:00,369.65,100.27,23.02,2.0,0.41,0.36965
2020-01-13 10:00:00+00:00,427.85,114.46,26.07,3.81,0.28,0.42785
2020-01-13 11:00:00+00:00,1545.35,374.46,26.19,5.18,0.48,1.54535
2020-01-13 12:00:00+00:00,249.9,73.79,23.36,6.23,0.55,0.2499
2020-01-13 13:00:00+00:00,852.4,212.49,17.93,6.57,0.62,0.8523999999999999
2020-01-13 14:00:00+00:00,208.8,63.96,10.46,6.47,0.76,0.2088
2020-01-13 15:00:00+00:00,0.0,0.0,0.0,5.16,0.76,0.0
2020-01-13 16:00:00+00:00,0.0,0.0,0.0,4.71,0.34,0.0
2020-01-13 17:00:00+00:00,0.0,0.0,0.0,3.83,0.41,0.0
2020-01-13 18:00:00+00:00,0.0,0.0,0.0,2.93,0.83,0.0
2020-01-13 19:00:00+00:00,0.0,0.0,0.0,-0.74,1.1,0.0
2020-01-13 20:00:00+00:00,0.0,0.0,0.0,-2.47,1.24,0.0
2020-01-13 21:00:00+00:00,0.0,0.0,0.0,-3.52,1.38,0.0
2020-01-13 22:00:00+00:00,0.0,0.0,0.0,-4.05,1.38,0.0
2020-01-13 23:00:00+00:00,0.0,0.0,0.0,-4.55,1.38,0.0
2020-01-14 00:00:00+00:00,0.0,0.0,0.0,-4.95,1.38,0.0
2020-01-14 01:00:00+00:00,0.0,0.0,0.0,-5.03,1.38,0.0
2020-01-14 02:00:00+00:00,0.0,0.0,0.0,-5.33,1.45,0.0
2020-01-14 03:00:00+00:00,0.0,0.0,0.0,-5.33,1.45,0.0
2020-01-14 04:00:00+00:00,0.0,0.0,0.0,-5.4,1.45,0.0
2020-01-14 05:00:00+00:00,0.0,0.0,0.0,-5.45,1.52,0.0
2020-01-14 06:00:00+00:00,0.0,0.0,0.0,-5.49,1.52,0.0
2020-01-14 07:00:00+00:00,0.0,0.0,0.0,-4.56,1.38,0.0
2020-01-14 08:00:00+00:00,541.1,136.53,17.52,-1.66,1.03,0.5411
2020-01-14 09:00:00+00:00,510.05,131.83,23.16,1.48,0.69,0.51005
2020-01-14 10:00:00+00:00,455.5,121.09,26.24,4.25,0.14,0.4555
2020-01-14 11:00:00+00:00,394.7,107.84,26.37,6.07,0.21,0.3947
2020-01-14 12:00:00+00:00,320.6,90.81,23.55,6.98,0.41,0.3206
2020-01-14 13:00:00+00:00,284.25,82.3,18.12,7.24,0.41,0.28425
